,regionCode
419,369
764,258
125,137
176,136
462,134
428,132
1184,130
24,130
122,129
828,126
70,125
827,120
207,118
1222,117
2418,117
85,116
2615,115
2222,113
759,112
188,111
1757,110
1157,109
272,107
2401,107
424,107
1069,107
3545,107
451,106
129,105
2205,105
450,105
1868,104
309,104
762,104
1051,103
3203,102
190,102
1642,101
1456,101
102,99
1000,99
792,98
1541,98
757,98
360,98
2491,98
703,97
172,97
2446,96
1275,96
1225,95
1438,95
590,95
238,95
979,95
1045,94
1168,94
337,94
1696,94
486,94
1694,94
107,94
1302,94
2154,94
1947,93
3677,93
896,93
1451,93
256,92
1621,92
617,92
3304,92
2710,92
132,92
1294,92
2027,91
1827,91
57,91
1458,90
2208,90
1047,90
233,90
3823,90
538,90
2768,89
291,89
2775,89
1123,89
71,89
730,89
754,88
837,88
374,87
1043,87
624,87
2805,87
2957,87
1259,87
580,87
1134,86
1483,86
4640,86
3763,86
1007,86
449,85
468,85
302,85
1049,85
2025,85
482,85
2986,85
350,85
3024,85
1688,85
1867,84
1997,84
1288,84
2067,84
1040,83
536,83
906,83
1147,83
98,83
153,83
3583,82
249,82
143,82
2907,82
74,82
72,81
1465,81
2107,81
317,81
563,81
795,80
4615,80
1124,80
2093,80
1240,80
637,80
60,80
1654,80
1463,80
542,80
396,80
2423,80
2320,80
998,79
1530,79
882,79
1778,79
1731,79
785,79
1276,79
259,79
3573,79
2053,79
2086,79
261,79
3750,78
1158,78
213,78
381,78
1135,78
2690,78
1293,78
2029,78
1637,78
2251,78
1004,78
942,78
670,77
1555,77
858,77
1590,77
4273,77
491,77
2061,76
831,76
64,76
1233,76
1012,76
2711,76
1156,76
2007,76
222,75
2055,75
551,75
1975,75
1785,75
1377,75
1871,75
2045,75
1695,75
1066,75
2384,75
101,75
1193,75
813,74
31,74
2589,74
4128,74
2528,74
3607,74
698,74
441,74
900,74
728,73
955,73
271,73
752,73
315,73
241,73
2571,73
905,73
1905,73
753,73
3563,73
821,72
36,72
341,72
164,72
886,72
2349,72
715,72
2618,72
3985,72
4333,72
44,72
509,72
2120,71
2128,71
1924,71
791,71
919,71
3519,70
182,70
1350,70
628,70
3650,70
1481,70
562,70
1197,70
290,70
3103,70
1278,69
5133,69
937,69
3227,69
430,69
1912,69
2115,69
147,69
723,69
869,69
1085,69
363,69
1973,69
2887,69
2247,68
1883,68
1552,68
376,68
2042,68
597,68
784,68
1109,68
620,68
1379,68
2600,68
3311,68
2644,68
555,68
3040,68
3690,68
1125,67
3517,67
283,67
1741,67
2111,67
1444,67
2157,67
700,67
2977,66
2013,66
2383,66
1634,66
2083,66
2110,66
2702,66
2716,66
1773,66
170,66
61,66
2436,66
771,65
2261,65
940,65
225,65
2676,65
851,65
1570,65
1565,65
4,65
485,65
1324,65
838,65
3120,65
4420,65
1748,65
343,65
230,65
718,65
328,65
1130,65
93,65
3219,65
1577,64
2009,64
1700,64
1805,64
952,64
1102,64
1143,64
1164,64
689,64
2244,64
1032,64
3463,64
2850,64
1330,64
457,64
1398,63
602,63
1713,63
269,63
394,63
2275,63
2155,63
1818,63
807,63
2482,63
2348,63
90,63
0,63
1291,63
745,63
96,63
1478,63
1539,63
3111,63
2962,63
2118,63
1348,63
690,63
560,63
1027,63
